,Unnamed: 0,user,timestamp,tweet_text,tweet_sentiment,link,included_symbols,bitcoin Returns,doge Returns,tesla Returns,google Returns,apple Returns,p_change
132,132,elonmusk,1618460489,@andyweedman @karpathy @DirtyTesla Stop … In the Name of Love! https://t.co/kBsTi5jz16,0.5093,twitter.com/elonmusk/status/1382474118050639879,132.0,0,0,0,0,0,-1
133,133,elonmusk,1618458895,@AustinTeslaClub @TslaCC @teslaquadcities @teslaownersvn @SjvTesla @TeslaOwnersEBay @CodingMark @billhuang688 @gailalfa1 @Tesla 🥰,0.0,twitter.com/elonmusk/status/1382467430614667265,133.0,0,0,0,0,0,-1
134,134,elonmusk,1618457720,@Teslarati I found some footage of the drive https://t.co/TXeLQO9Spr,0.0,twitter.com/elonmusk/status/1382462502831738887,134.0,0,0,0,0,0,-1
135,135,elonmusk,1618457577,@AstroJordy @dogeofficialceo @F9Block5 Insanely cute!,0.5093,twitter.com/elonmusk/status/1382461904128339968,135.0,0,0,0,0,0,-1
136,136,elonmusk,1618457250,"@WholeMarsBlog Button timing of May is aspirational. Depends on how well limited beta of V9.0 goes, but I would be… https://t.co/M1DxOactEI",0.0258,twitter.com/elonmusk/status/1382460531550785541,136.0,0,0,0,0,0,-1
137,137,elonmusk,1618456949,@cliffski @F9Block5 Hopefully addressed this summer,0.4019,twitter.com/elonmusk/status/1382459271774834690,,0,0,0,0,0,-1
138,138,elonmusk,1618456788,@dogeofficialceo @F9Block5 🤣🤣,0.0,twitter.com/elonmusk/status/1382458594352713728,138.0,0,0,0,0,0,-1
139,139,elonmusk,1618456757,@BLKMDL3 @F9Block5 Same timing,0.0,twitter.com/elonmusk/status/1382458463624724480,,0,0,0,0,0,-1
140,140,elonmusk,1618456652,"@F9Block5 Major improvements are being made to the vision stack every week. Beta button hopefully next month.

This… https://t.co/wRBxe5XiNr",0.7184,twitter.com/elonmusk/status/1382458022367162370,,0,0,0,0,0,-1
141,141,elonmusk,1618455751,@jrosinski97 Will investigate,0.0,twitter.com/elonmusk/status/1382454243810963460,,0,0,0,0,0,-1
142,142,elonmusk,1618455626,@melaniemadri Probably late July,0.0,twitter.com/elonmusk/status/1382453719585808384,,0,0,0,0,0,-1
