timestamp,date,close,change,p_change
1614027540, 2021-02-22,387.1,-0.04,-0.000103322
1614027600, 2021-02-22,387.27,0.17,0.000439163
1614027660, 2021-02-22,387.44,0.17,0.00043897
1614027720, 2021-02-22,387.39,-0.05,-0.000129052
1614027780, 2021-02-22,387.34,-0.05,-0.000129069
1614027840, 2021-02-22,387.27,-0.07,-0.00018072
1614027900, 2021-02-22,387.2,-0.07,-0.000180752
1614027960, 2021-02-22,387.15,-0.05,-0.000129132
1614028020, 2021-02-22,387.16,0.01,2.58298E-05
1614028080, 2021-02-22,387.28,0.12,0.000309949
1614028140, 2021-02-22,386.97,-0.31,-0.000800454
1614028200, 2021-02-22,387.3,0.33,0.000852779
1614028260, 2021-02-22,387.32,0.02,5.16396E-05
1614028320, 2021-02-22,387.18,-0.14,-0.000361458
1614028380, 2021-02-22,387.19,0.01,2.58278E-05
1614028440, 2021-02-22,387.21,0.02,5.16542E-05
1614028500, 2021-02-22,387.2,-0.01,-2.58258E-05
1614028560, 2021-02-22,387.25,0.05,0.000129132
1614028620, 2021-02-22,387.23,-0.02,-5.16462E-05
1614028680, 2021-02-22,387.23,0,0
1614028740, 2021-02-22,387.24,0.01,2.58244E-05
1614028800, 2021-02-22,387.19,-0.05,-0.000129119
1614028860, 2021-02-22,387.19,0,0
1614028920, 2021-02-22,387.13,-0.06,-0.000154963
1614028980, 2021-02-22,387.12,-0.01,-2.58311E-05
1614029040, 2021-02-22,387.14,0.02,5.16636E-05
1614029100, 2021-02-22,387.18,0.04,0.000103322
1614029160, 2021-02-22,387.25,0.07,0.000180794
1614029220, 2021-02-22,387.14,-0.11,-0.000284054
1614029280, 2021-02-22,387.19,0.05,0.000129152
1614029340, 2021-02-22,387.19,0,0
1614029400, 2021-02-22,387.43,0.24,0.000619851
1614029460, 2021-02-22,387.36,-0.07,-0.000180678
1614029520, 2021-02-22,387.44,0.08,0.000206526
1614029580, 2021-02-22,387.43,-0.01,-2.58104E-05
1614029640, 2021-02-22,387.42,-0.01,-2.58111E-05
1614029700, 2021-02-22,387.48,0.06,0.000154871
1614029760, 2021-02-22,387.45,-0.03,-7.74234E-05
1614029820, 2021-02-22,387.44,-0.01,-2.58098E-05
1614029880, 2021-02-22,387.48,0.04,0.000103242
1614029940, 2021-02-22,387.36,-0.12,-0.000309693
1614030000, 2021-02-22,387.37,0.01,2.58158E-05
1614030060, 2021-02-22,387.37,0,0
1614030120, 2021-02-22,387.37,0,0
1614030180, 2021-02-22,387.39,0.02,5.16302E-05
1614030240, 2021-02-22,387.22,-0.17,-0.000438834
1614030300, 2021-02-22,387.26,0.04,0.0001033
1614030360, 2021-02-22,387.3,0.04,0.00010329
1614030420, 2021-02-22,387.25,-0.05,-0.000129099
1614030480, 2021-02-22,387.3,0.05,0.000129116
1614030540, 2021-02-22,387.42,0.12,0.000309837
1614030600, 2021-02-22,387.44,0.02,5.16236E-05
1614030660, 2021-02-22,387.41,-0.03,-7.74313E-05
1614030720, 2021-02-22,387.39,-0.02,-5.16249E-05
1614030780, 2021-02-22,387.3,-0.09,-0.000232324
1614030840, 2021-02-22,387.32,0.02,5.16396E-05
1614030900, 2021-02-22,387.29,-0.03,-7.74553E-05
1614030960, 2021-02-22,387.37,0.08,0.000206564
1614031020, 2021-02-22,387.37,0,0
1614031080, 2021-02-22,387.3,-0.07,-0.000180706
1614031140, 2021-02-22,387.38,0.08,0.000206558
1614031200, 2021-02-22,387.39,0.01,2.58144E-05
1614031260, 2021-02-22,387.39,0,0
1614031320, 2021-02-22,387.38,-0.01,-2.58138E-05
1614031380, 2021-02-22,387.38,0,0
1614031440, 2021-02-22,387.38,0,0
1614031500, 2021-02-22,387.3,-0.08,-0.000206516
1614031560, 2021-02-22,387.3,0,0
1614031620, 2021-02-22,387.3,0,0
1614031680, 2021-02-22,387.29,-0.01,-2.58198E-05
1614031740, 2021-02-22,387.29,0,0
1614031800, 2021-02-22,387.32,0.03,7.74613E-05
1614031860, 2021-02-22,387.31,-0.01,-2.58184E-05
1614031920, 2021-02-22,387.31,0,0
1614031980, 2021-02-22,387.3,-0.01,-2.58191E-05
1614032040, 2021-02-22,387.3,0,0
1614032100, 2021-02-22,387.27,-0.03,-7.74593E-05
1614032160, 2021-02-22,387.24,-0.03,-7.74653E-05
1614032220, 2021-02-22,387.22,-0.02,-5.16476E-05
1614032280, 2021-02-22,387.2,-0.02,-5.16502E-05
1614032340, 2021-02-22,387.26,0.06,0.000154959
1614032400, 2021-02-22,387.3,0.04,0.00010329
1614032460, 2021-02-22,387.31,0.01,2.58198E-05
1614032520, 2021-02-22,387.36,0.05,0.000129096
1614032580, 2021-02-22,387.35,-0.01,-2.58158E-05
1614032640, 2021-02-22,387.35,0,0
1614032700, 2021-02-22,387.35,0,0
1614032760, 2021-02-22,387.35,0,0
1614032820, 2021-02-22,387.36,0.01,2.58164E-05
1614032880, 2021-02-22,387.32,-0.04,-0.000103263
1614032940, 2021-02-22,387.26,-0.06,-0.000154911
1614033000, 2021-02-22,387.3,0.04,0.00010329
1614033060, 2021-02-22,387.3,0,0
1614033120, 2021-02-22,387.3,0,0
1614033180, 2021-02-22,387.27,-0.03,-7.74593E-05
1614033240, 2021-02-22,387.27,0,0
1614033300, 2021-02-22,387.27,0,0
1614033360, 2021-02-22,387.27,0,0
1614033420, 2021-02-22,387.3,0.03,7.74653E-05
1614033480, 2021-02-22,387.2,-0.1,-0.000258198
1614033540, 2021-02-22,387.33,0.13,0.000335744
1614033600, 2021-02-22,387.35,0.02,5.16356E-05
1614033660, 2021-02-22,387.21,-0.14,-0.00036143
1614033720, 2021-02-22,387.35,0.14,0.000361561
1614033780, 2021-02-22,387.35,0,0
1614033840, 2021-02-22,387.23,-0.12,-0.000309797
1614033900, 2021-02-22,387.23,0,0
1614033960, 2021-02-22,387.23,0,0
1614034020, 2021-02-22,387.03,-0.2,-0.000516489
1614034080, 2021-02-22,387.3,0.27,0.00069762
1614034140, 2021-02-22,387.28,-0.02,-5.16396E-05
1614034200, 2021-02-22,387.28,0,0
1614034260, 2021-02-22,387.28,0,0
1614034320, 2021-02-22,387.22,-0.06,-0.000154927
1614034380, 2021-02-22,387.22,0,0
1614034440, 2021-02-22,387.23,0.01,2.58251E-05
1614034500, 2021-02-22,387.3,0.07,0.000180771
1614034560, 2021-02-22,387.3,0,0
1614034620, 2021-02-22,387.3,0,0
1614034680, 2021-02-22,387.35,0.05,0.000129099
1614034740, 2021-02-22,387.35,0,0
1614070800, 2021-02-23,387.1,-0.25,-0.000645411
1614070860, 2021-02-23,387.21,0.11,0.000284164
1614070920, 2021-02-23,387.08,-0.13,-0.000335735
1614070980, 2021-02-23,386.85,-0.23,-0.000594192
1614071040, 2021-02-23,386.85,0,0
1614071100, 2021-02-23,386.62,-0.23,-0.000594546
1614071160, 2021-02-23,386.73,0.11,0.000284517
1614071220, 2021-02-23,386.58,-0.15,-0.000387868
1614071280, 2021-02-23,386.58,0,0
1614071340, 2021-02-23,386.52,-0.06,-0.000155207
1614071400, 2021-02-23,386.46,-0.06,-0.000155231
1614071460, 2021-02-23,386.36,-0.1,-0.000258759
1614071520, 2021-02-23,386.22,-0.14,-0.000362356
1614071580, 2021-02-23,386.16,-0.06,-0.000155352
1614071640, 2021-02-23,386.23,0.07,0.000181272
1614071700, 2021-02-23,386.31,0.08,0.00020713
1614071760, 2021-02-23,386.53,0.22,0.000569491
1614071820, 2021-02-23,386.47,-0.06,-0.000155227
1614071880, 2021-02-23,386.47,0,0
1614071940, 2021-02-23,386.47,0,0
1614072000, 2021-02-23,386.5,0.03,7.76257E-05
1614072060, 2021-02-23,386.47,-0.03,-7.76197E-05
1614072120, 2021-02-23,386.44,-0.03,-7.76257E-05
1614072180, 2021-02-23,386.44,0,0
1614072240, 2021-02-23,386.44,0,0
1614072300, 2021-02-23,386.44,0,0
1614072360, 2021-02-23,386,-0.44,-0.001138598
1614072420, 2021-02-23,385.98,-0.02,-5.18135E-05
1614072480, 2021-02-23,385.88,-0.1,-0.000259081
1614072540, 2021-02-23,385.62,-0.26,-0.000673785
1614072600, 2021-02-23,385.9,0.28,0.000726103
1614072660, 2021-02-23,385.93,0.03,7.77403E-05
1614072720, 2021-02-23,385.86,-0.07,-0.00018138
1614072780, 2021-02-23,385.56,-0.3,-0.000777484
1614072840, 2021-02-23,385.79,0.23,0.000596535
1614072900, 2021-02-23,385.92,0.13,0.000336971
1614072960, 2021-02-23,385.91,-0.01,-2.59121E-05
1614073020, 2021-02-23,386.04,0.13,0.000336866
1614073080, 2021-02-23,386,-0.04,-0.000103616
1614073140, 2021-02-23,385.95,-0.05,-0.000129534
1614073200, 2021-02-23,385.9,-0.05,-0.00012955
1614073260, 2021-02-23,385.7,-0.2,-0.000518269
1614073320, 2021-02-23,385.67,-0.03,-7.77807E-05
1614073380, 2021-02-23,385.79,0.12,0.000311147
1614073440, 2021-02-23,386.04,0.25,0.000648021
1614073500, 2021-02-23,386.04,0,0
1614073560, 2021-02-23,385.83,-0.21,-0.000543985
1614073620, 2021-02-23,385.71,-0.12,-0.000311018
1614073680, 2021-02-23,385.44,-0.27,-0.000700008
1614073740, 2021-02-23,385.39,-0.05,-0.000129722
1614073800, 2021-02-23,385.78,0.39,0.001011962
1614073860, 2021-02-23,385.74,-0.04,-0.000103686
1614073920, 2021-02-23,385.6,-0.14,-0.000362939
1614073980, 2021-02-23,385.56,-0.04,-0.000103734
1614074040, 2021-02-23,385.45,-0.11,-0.000285299
1614074100, 2021-02-23,385.38,-0.07,-0.000181606
1614074160, 2021-02-23,385.39,0.01,2.59484E-05
1614074220, 2021-02-23,385.35,-0.04,-0.000103791
1614074280, 2021-02-23,385.32,-0.03,-7.78513E-05
1614074340, 2021-02-23,385.4,0.08,0.00020762
1614074400, 2021-02-23,385.38,-0.02,-5.18941E-05
1614074460, 2021-02-23,385.55,0.17,0.000441123
1614074520, 2021-02-23,385.47,-0.08,-0.000207496
1614074580, 2021-02-23,385.41,-0.06,-0.000155654
1614074640, 2021-02-23,385.22,-0.19,-0.000492982
1614074700, 2021-02-23,385.09,-0.13,-0.000337469
1614074760, 2021-02-23,384.97,-0.12,-0.000311615
1614074820, 2021-02-23,384.84,-0.13,-0.000337689
1614074880, 2021-02-23,384.88,0.04,0.000103939
1614074940, 2021-02-23,384.85,-0.03,-7.79464E-05
1614075000, 2021-02-23,384.63,-0.22,-0.000571651
1614075060, 2021-02-23,384.8,0.17,0.000441983
1614075120, 2021-02-23,384.92,0.12,0.00031185
1614075180, 2021-02-23,385.04,0.12,0.000311753
1614075240, 2021-02-23,384.86,-0.18,-0.000467484
1614075300, 2021-02-23,384.57,-0.29,-0.000753521
1614075360, 2021-02-23,384.62,0.05,0.000130015
1614075420, 2021-02-23,384.83,0.21,0.000545993
1614075480, 2021-02-23,384.99,0.16,0.000415768
1614075540, 2021-02-23,384.73,-0.26,-0.000675342
1614075600, 2021-02-23,384.73,0,0
1614075660, 2021-02-23,384.72,-0.01,-2.59923E-05
1614075720, 2021-02-23,384.8,0.08,0.000207943
1614075780, 2021-02-23,384.94,0.14,0.000363825
1614075840, 2021-02-23,384.73,-0.21,-0.00054554
1614075900, 2021-02-23,384.76,0.03,7.79768E-05
1614075960, 2021-02-23,384.54,-0.22,-0.000571785
1614076020, 2021-02-23,384.48,-0.06,-0.000156031
1614076080, 2021-02-23,384.43,-0.05,-0.000130046
1614076140, 2021-02-23,384.47,0.04,0.00010405
1614076200, 2021-02-23,384.38,-0.09,-0.000234088
1614076260, 2021-02-23,384.4,0.02,5.20318E-05
1614076320, 2021-02-23,384.29,-0.11,-0.00028616
1614076380, 2021-02-23,384.13,-0.16,-0.000416352
1614076440, 2021-02-23,384.19,0.06,0.000156197
1614076500, 2021-02-23,383.95,-0.24,-0.000624691
1614076560, 2021-02-23,383.82,-0.13,-0.000338586
1614076620, 2021-02-23,384.07,0.25,0.000651347
1614076680, 2021-02-23,384.09,0.02,5.20738E-05
1614076740, 2021-02-23,384.09,0,0
1614076800, 2021-02-23,384.05,-0.04,-0.000104142
1614076860, 2021-02-23,383.9,-0.15,-0.000390574
1614076920, 2021-02-23,384.05,0.15,0.000390727
1614076980, 2021-02-23,383.91,-0.14,-0.000364536
1614077040, 2021-02-23,384.12,0.21,0.000547003
1614077100, 2021-02-23,384.19,0.07,0.000182235
1614077160, 2021-02-23,384.14,-0.05,-0.000130144
1614077220, 2021-02-23,384.39,0.25,0.000650804
1614077280, 2021-02-23,384.3,-0.09,-0.000234137
1614077340, 2021-02-23,384.3,0,0
1614077400, 2021-02-23,384.12,-0.18,-0.000468384
1614077460, 2021-02-23,384.44,0.32,0.000833073
1614077520, 2021-02-23,384.49,0.05,0.000130059
1614077580, 2021-02-23,384.64,0.15,0.000390127
1614077640, 2021-02-23,384.6,-0.04,-0.000103993
1614077700, 2021-02-23,384.47,-0.13,-0.000338014
1614077760, 2021-02-23,384.01,-0.46,-0.001196452
1614077820, 2021-02-23,384.28,0.27,0.000703107
1614077880, 2021-02-23,384.32,0.04,0.000104091
